experiment	strain_type
SRX3573046	PAO1
SRX3573044	PAO1
SRX5187184	PAO1
SRX5187185	PAO1
SRX5187186	PAO1
SRX5187187	PAO1
SRX5187188	PAO1
SRX5187189	PAO1
SRX4641866	PA14
SRX4641865	PA14
SRX4641864	PA14
SRX4641863	PA14
SRX4641862	PA14
SRX4641861	PA14
SRX4641860	PA14
SRX4641859	PA14
SRX4641858	PA14
SRX4641857	PA14
SRX4641856	PA14
SRX4641855	PA14
SRX4641854	PA14
SRX3539745	PAO1
SRX3539739	PAO1
SRX3539738	PAO1
SRX4579961	PAO1
SRX4579962	PAO1
SRX4579963	PAO1
SRX4579964	PAO1
SRX4579965	PAO1
SRX4579966	PAO1
SRX5099522	PA14
SRX5099523	PA14
SRX5099524	PA14
SRX5096111	PAO1
SRX5096112	PAO1
SRX5096113	PAO1
SRX5096114	PAO1
SRX5096115	PAO1
SRX5096116	PAO1
SRX5096117	PAO1
SRX5096118	PAO1
SRX4990983	PAO1
SRX4624098	PA14
SRX4624096	PA14
SRX4624097	PA14
SRX4624095	PA14
ERX2068556	PAO1
ERX2068557	PAO1
ERX2068558	PAO1
ERX2068559	PAO1
ERX2068560	PAO1
ERX2068561	PAO1
SRX4599510	PA14
SRX5000017	PAO1
SRX5000018	PAO1
SRX5000019	PAO1
SRX5000020	PAO1
SRX5000021	PAO1
SRX5000022	PAO1
SRX5000023	PAO1
SRX5000025	PAO1
SRX5000026	PAO1
SRX5000027	PAO1
SRX5000028	PAO1
SRX5000029	PAO1
SRX5000030	PAO1
SRX5000031	PAO1
SRX5000032	PAO1
SRX5000033	PAO1
SRX5000034	PAO1
SRX5000036	PAO1
SRX4884852	PAO1
SRX4884853	PAO1
SRX4884854	PAO1
SRX4884855	PAO1
SRX4884856	PAO1
SRX4884857	PAO1
SRX4884858	PAO1
SRX4884859	PAO1
SRX4884860	PAO1
SRX4884861	PAO1
ERX2456851	PAO1
ERX2456852	PAO1
ERX2456853	PAO1
ERX2456856	PAO1
ERX2456857	PAO1
ERX2456858	PAO1
SRX4774141	PAO1
SRX4774142	PAO1
